,año,clave_entidad,entidad,sexo_victima,enero,febrero,marzo,abril,mayo,junio,julio,agosto,septiembre,octubre,noviembre,diciembre,delitos_totales
744,2022,25,Sinaloa,Hombre,32,32.0,41.0,40.0,54.0,40.0,36.0,33.0,51.0,35.0,31.0,36.0,461.0
745,2022,25,Sinaloa,Mujer,1,2.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,3.0,2.0,13.0
746,2022,25,Sinaloa,No identificado,2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,4.0
747,2022,26,Sonora,Hombre,138,89.0,147.0,93.0,123.0,125.0,129.0,109.0,113.0,111.0,99.0,146.0,1422.0
748,2022,26,Sonora,Mujer,9,10.0,6.0,14.0,9.0,5.0,3.0,7.0,11.0,7.0,10.0,17.0,108.0
749,2022,26,Sonora,No identificado,12,16.0,21.0,24.0,21.0,14.0,9.0,15.0,10.0,21.0,9.0,42.0,214.0
750,2022,27,Tabasco,Hombre,31,25.0,21.0,25.0,27.0,21.0,25.0,25.0,23.0,24.0,18.0,28.0,293.0
751,2022,27,Tabasco,Mujer,2,1.0,1.0,0.0,5.0,6.0,4.0,0.0,3.0,1.0,1.0,3.0,27.0
752,2022,27,Tabasco,No identificado,0,0.0,0.0,1.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,7.0
753,2022,28,Tamaulipas,Hombre,34,23.0,38.0,29.0,38.0,36.0,34.0,40.0,24.0,22.0,23.0,27.0,368.0
754,2022,28,Tamaulipas,Mujer,3,6.0,3.0,3.0,2.0,4.0,3.0,4.0,6.0,3.0,3.0,2.0,42.0
755,2022,28,Tamaulipas,No identificado,3,6.0,8.0,3.0,3.0,7.0,4.0,7.0,8.0,5.0,6.0,2.0,62.0
756,2022,29,Tlaxcala,Hombre,4,11.0,12.0,19.0,14.0,9.0,8.0,11.0,8.0,19.0,7.0,10.0,132.0
757,2022,29,Tlaxcala,Mujer,1,1.0,0.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,9.0
758,2022,29,Tlaxcala,No identificado,0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
759,2022,30,Veracruz de Ignacio de la Llave,Hombre,95,58.0,78.0,83.0,79.0,67.0,78.0,87.0,71.0,68.0,60.0,77.0,901.0
760,2022,30,Veracruz de Ignacio de la Llave,Mujer,6,3.0,7.0,6.0,12.0,6.0,7.0,9.0,6.0,9.0,5.0,3.0,79.0
761,2022,30,Veracruz de Ignacio de la Llave,No identificado,1,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,4.0
762,2022,31,Yucatán,Hombre,4,5.0,2.0,1.0,6.0,1.0,4.0,3.0,3.0,2.0,2.0,2.0,35.0
763,2022,31,Yucatán,Mujer,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,4.0
764,2022,31,Yucatán,No identificado,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
765,2022,32,Zacatecas,Hombre,121,75.0,99.0,102.0,77.0,98.0,111.0,90.0,89.0,114.0,112.0,107.0,1195.0
766,2022,32,Zacatecas,Mujer,15,8.0,6.0,17.0,11.0,7.0,8.0,11.0,12.0,12.0,13.0,9.0,129.0
767,2022,32,Zacatecas,No identificado,0,0.0,1.0,2.0,1.0,1.0,3.0,1.0,2.0,1.0,2.0,2.0,16.0
