Descriptores,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020<R>,2021<P>
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Ciudad de México<C1>,1361498.89,1505497.279,1501945.294,1444046.962,1485535.797,1482818.224,1410037.504,1414248.018,1414438.721,1466418.201,1536976.329,1613847.414,1669043.582,1760340.994,1836600.359,1719524.38,1794773.887,1923601.551,1983658.151,2048504.996,2176137.703,2148632.068,2167891.34,2132929.372,2226949.736,2258091.583,2374722.886,2408565.865,2450391.202,2362516.439,2446910.439,2533806.893,2633934.642,2673066.331,2748551.988,2869792.908,2957233.594,3045539.859,3126459.566,3132839.076,2856971.791,2944607.206
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Durango<C1>,90959.968,98389.172,97917.69,94055.558,96762.761,98520.791,95461.969,97371.556,98504.613,101602.066,106268.916,109644.65,112008.293,114416.09,120560.406,115479.546,122261.912,126914.513,136337.463,136602.066,138068.244,143477.073,144577.96,152922.727,157662.281,155001.886,160388.081,162709.802,165722.989,163083.647,169268.084,176314.713,182943.056,189052.812,192968.629,192888.101,200660.962,199559.31,202272.029,204045.941,189953.176,200396.979
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Guanajuato<C1>,227935.25,250563.942,251216.458,241187.661,250259.679,255789.676,246924.709,252722.158,256326.177,266019.917,280580.668,291809.824,301553.167,311369.97,324348.058,312602.564,333015.01,353328.823,377816.534,383909.773,405974.608,408016.988,426071.079,438354.387,450953.155,454625.559,477646.929,488729.604,503024.423,481674.906,517168.681,548163.17,570921.987,594575.532,620084.804,653849.926,673328.294,704179.453,713090.078,701795.455,650820.418,682552.363
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Guerrero<C1>,139151.313,145785.434,146456.51,144558.66,147364.405,149342.372,147618.938,149621.937,150968.147,153964.434,158709.131,162577.221,165304.512,165480.86,175171.743,164039.448,168580.751,173317.707,180088.639,182253.978,184156.398,185463.865,184012.581,182713.981,192557.837,195219.889,199540.65,204879.83,208284.821,201239.316,211890.535,214478.174,218118.481,218811.378,227659.005,229580.566,234185.03,234094.182,240685.982,240749.756,218674.062,227407.687
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Hidalgo<C1>,113570.475,123728.168,124113.065,119358.1,123578.637,126596.76,122854.54,125801.434,127642.848,131979.421,139043.934,144872.855,150770.647,154946.229,159184.241,138608.71,154443.419,160529.72,175554.391,177904.424,181839.607,179798.181,179047.723,179553.378,191549.579,190073.779,195404.535,201655.418,208800.335,195581.126,206303.584,214569.188,222797.005,230982.767,243064.784,258695.052,268833.622,270118.073,276996.193,272452.995,244145.37,251437.626
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Jalisco<C1>,506057.736,553579.081,553396.75,528016.231,546213.109,557080.357,536270.037,547525.728,554367.448,573268.198,601299.742,622365.431,641685.005,657579.346,681207.2,625082.763,660456.829,708779.99,760051.433,790148.874,827464.12,810364.844,802784.099,794957.322,819238.31,842128.813,886009.726,913139.834,918573.456,870319.1,925371.837,953148.056,995285.999,1018578.607,1067256.762,1104884.87,1149129.548,1176616.034,1208076.022,1216735.696,1126205.873,1186918.964
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|México<C1>,627012.487,683842.912,683337.67,654966.823,675440.279,684397.272,658113.374,668796.199,675674.726,699639.151,734269.921,764049.222,789865.89,814132.738,845472.31,780739.76,849423.27,921089.1,967724.419,1003185.409,1061054.125,1066663.977,1048741.185,1048403.59,1073840.81,1099376.794,1150701.95,1184658.428,1198144.35,1138727.918,1226813.687,1283448.197,1339994.611,1365154.229,1402291.945,1445183.505,1485467.443,1556925.971,1608137.236,1580644.778,1488204.23,1575492.247
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Michoacán de Ocampo<C1>,170037.05,182319.675,184550.907,181925.841,188116.892,192987.883,191185.122,196024.863,199623.877,205670.986,214055.509,220604.343,225299.861,225202.131,240370.264,235076.181,245257.23,271580.059,273828.927,290304.718,295434.825,288426.891,284937.993,294468.306,301021.642,306026.395,320451.426,328272.19,334657.914,317003.042,329767.26,343275.664,352030.387,359465.987,379655.442,386038.362,402111.981,414856.586,424359.973,424544.678,397577.179,406942.649
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Morelos<C1>,94761.085,102352.407,102342.388,98322.863,101540.739,103829.047,101000.251,103523.722,105304.879,108944.996,114155.974,117824.624,121265.965,125976.699,129202.366,114284.733,121778.69,129847.066,140497.352,147510.638,150129.836,155324.353,151225.17,158055.834,159734.875,171279.471,168177.81,169325.362,169672.507,168348.348,174984.467,174678.088,175717.837,182126.143,185662.448,187472.397,194412.078,203238.504,201316.454,201049.316,179752.616,186361.9
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Nayarit<C1>,53013.261,57468.978,57691.591,56284.613,58025.224,59071.768,57563.038,58681.246,59353.06,61366.541,64805.681,67813.359,70780.361,73131.897,75590.71,66390.735,68038.843,69126.635,75088.907,77290.972,78547.341,80899.113,78930.714,76105.196,86879.422,90269.847,92165.697,91675.276,98292.89,93038.497,97786.134,100704.16,100800.218,103627.459,108986.732,114062.999,119473.243,121000.114,120639.992,121042.682,107339.93,116192.35
